l = 1564.
Q Cache of size 1000MB storing 1564 rows.
SMO (2D) selected.
Iteration 1, WS = [432, 1056], MinDeltaObj = -2265.979457492955, Gmax = 61.47, Gmin = 1, DeltaGradient = 60.47, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 2 (#BSV = 2)
Iteration 82, WS = [551, 969], MinDeltaObj = -150.9618339284519, Gmax = 37.16494803442622, Gmin = 17.347499321273396, DeltaGradient = 19.81744871315282, 2D Update: i = 16.95428863883915 -> 32.5571601779193, j = 0 -> 15.602871539080152, #SV = 127 (#BSV = 97)
Iteration 83, WS = [395, 1018], MinDeltaObj = -547.4483756349805, Gmax = 38.19765434050654, Gmin = 22.10644920357387, DeltaGradient = 16.09120513693267, 2D Update: i = 56.642053511585374 -> 100, j = 0 -> 43.357946488414626, #SV = 128 (#BSV = 98)
Iteration 84, WS = [422, 1249], MinDeltaObj = -473.9111966714508, Gmax = 36.37147200800149, Gmin = 25.360016579643386, DeltaGradient = 11.011455428358104, 2D Update: i = 0 -> 64.29131085093618, j = 35.708689149063815 -> 100, #SV = 129 (#BSV = 99)
Iteration 85, WS = [243, 1158], MinDeltaObj = -381.9653002565901, Gmax = 37.72903749605001, Gmin = 23.238718425150992, DeltaGradient = 14.49031907089902, 2D Update: i = 0 -> 78.10887363959151, j = 21.891126360408492 -> 100, #SV = 130 (#BSV = 100)
Iteration 86, WS = [417, 825], MinDeltaObj = -290.8878284167537, Gmax = 37.916114770812925, Gmin = 20.408035933340564, DeltaGradient = 17.50807883747236, 2D Update: i = 0 -> 36.19077594608924, j = 10.499556582837272 -> 46.69033252892651, #SV = 131 (#BSV = 100)
Iteration 87, WS = [638, 1499], MinDeltaObj = -454.4489764247, Gmax = 38.15933969516352, Gmin = 21.75261226253712, DeltaGradient = 16.406727432626397, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 133 (#BSV = 102)
Iteration 88, WS = [413, 1432], MinDeltaObj = -3539.0458515735595, Gmax = 39.84626307611297, Gmin = 23.307689809049716, DeltaGradient = 16.538573267063253, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 135 (#BSV = 104)
Iteration 89, WS = [28, 1299], MinDeltaObj = -351.43004795266, Gmax = 39.99176667976808, Gmin = 23.196777370572587, DeltaGradient = 16.79498930919549, 2D Update: i = 95.75316401883848 -> 100, j = 0 -> 4.246835981161524, #SV = 136 (#BSV = 105)
Iteration 90, WS = [255, 1235], MinDeltaObj = -768.8747261599606, Gmax = 39.66080858380077, Gmin = 23.16144838617425, DeltaGradient = 16.499360197626523, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 138 (#BSV = 107)
Iteration 91, WS = [214, 784], MinDeltaObj = -792.0376575674456, Gmax = 40.707937723800626, Gmin = 25.031383287010595, DeltaGradient = 15.676554436790031, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 140 (#BSV = 109)
