l = 1564.
Q Cache of size 1000MB storing 1564 rows.
ISDA (1D) selected.
Iteration 166, WS = [1230], MaxViolation = 5.957794722667264, 1D Update: 6.1455678896666415 -> 10, #SV = 97 (#BSV = 88)
Iteration 167, WS = [252], MaxViolation = 4.0948699911493005, 1D Update: 9.792513283705603 -> 10, #SV = 97 (#BSV = 89)
Iteration 168, WS = [29], MaxViolation = 3.799909346748051, 1D Update: 0 -> 3.454463042498228, #SV = 98 (#BSV = 89)
Iteration 169, WS = [1033], MaxViolation = 5.6343557954284424, 1D Update: 0 -> 5.122141632207675, #SV = 99 (#BSV = 89)
Iteration 170, WS = [742], MaxViolation = 5.935051213572219, 1D Update: 5.192293469537007 -> 10, #SV = 99 (#BSV = 90)
Iteration 171, WS = [916], MaxViolation = 5.224314120460655, 1D Update: 5.554158548779501 -> 10, #SV = 99 (#BSV = 91)
Iteration 172, WS = [555], MaxViolation = 4.9965130871406584, 1D Update: 9.550334375691314 -> 10, #SV = 99 (#BSV = 92)
Iteration 173, WS = [189], MaxViolation = 4.409809228970517, 1D Update: 0 -> 4.008917480882288, #SV = 100 (#BSV = 92)
Iteration 174, WS = [1234], MaxViolation = 5.838380791195345, 1D Update: 9.77625655621025 -> 10, #SV = 100 (#BSV = 93)
Iteration 175, WS = [1326], MaxViolation = 5.534219760270179, 1D Update: 0 -> 5.031108872972889, #SV = 101 (#BSV = 93)
Iteration 176, WS = [29], MaxViolation = 5.43543342960252, 1D Update: 3.454463042498228 -> 8.3957661603187, #SV = 101 (#BSV = 93)
Iteration 177, WS = [1235], MaxViolation = 5.457206646154054, 1D Update: 0 -> 4.961096951049139, #SV = 102 (#BSV = 93)
Iteration 178, WS = [198], MaxViolation = 5.5629113049281935, 1D Update: 4.9123879742081735 -> 9.969580069597441, #SV = 102 (#BSV = 93)
Iteration 179, WS = [1033], MaxViolation = 5.5315437820555, 1D Update: 5.122141632207675 -> 10, #SV = 102 (#BSV = 94)
Iteration 180, WS = [198], MaxViolation = 5.312561562009137, 1D Update: 9.969580069597441 -> 10, #SV = 102 (#BSV = 95)
Iteration 181, WS = [189], MaxViolation = 5.268861299998486, 1D Update: 4.008917480882288 -> 8.798791389971822, #SV = 102 (#BSV = 95)
Iteration 182, WS = [1455], MaxViolation = 5.333732357468593, 1D Update: 0 -> 4.84884759769872, #SV = 103 (#BSV = 95)
Iteration 183, WS = [279], MaxViolation = 5.403291744234672, 1D Update: 0 -> 4.912083403849702, #SV = 104 (#BSV = 95)
Iteration 184, WS = [1326], MaxViolation = 5.339165998353127, 1D Update: 5.031108872972889 -> 9.884896144203005, #SV = 104 (#BSV = 95)
Iteration 185, WS = [638], MaxViolation = 5.247684618133332, 1D Update: 0 -> 4.77062238012121, #SV = 105 (#BSV = 95)
Iteration 186, WS = [1235], MaxViolation = 5.42972492909703, 1D Update: 4.961096951049139 -> 9.897210522955529, #SV = 105 (#BSV = 95)
Iteration 187, WS = [29], MaxViolation = 5.353252750993303, 1D Update: 8.3957661603187 -> 10, #SV = 105 (#BSV = 96)
Iteration 188, WS = [279], MaxViolation = 3.60610008554494, 1D Update: 4.912083403849702 -> 8.190356208890556, #SV = 105 (#BSV = 96)
Iteration 189, WS = [1455], MaxViolation = 5.1959307467305305, 1D Update: 4.84884759769872 -> 9.572421003817384, #SV = 105 (#BSV = 96)
Iteration 190, WS = [638], MaxViolation = 5.318157146155086, 1D Update: 4.77062238012121 -> 9.605310694807653, #SV = 105 (#BSV = 96)
Iteration 191, WS = [1326], MaxViolation = 5.1866027225838245, 1D Update: 9.884896144203005 -> 10, #SV = 105 (#BSV = 97)
Iteration 192, WS = [1499], MaxViolation = 5.053410377342344, 1D Update: 0 -> 4.594009433947585, #SV = 106 (#BSV = 97)
Iteration 193, WS = [371], MaxViolation = 5.116763960629657, 1D Update: 0 -> 4.6516036005724155, #SV = 107 (#BSV = 97)
Iteration 194, WS = [1155], MaxViolation = 5.179063337336188, 1D Update: 0 -> 4.708239397578352, #SV = 108 (#BSV = 97)
Iteration 195, WS = [279], MaxViolation = 4.998970344595508, 1D Update: 8.190356208890556 -> 10, #SV = 108 (#BSV = 98)
Iteration 196, WS = [189], MaxViolation = 3.0857513923646183, 1D Update: 8.798791389971822 -> 10, #SV = 108 (#BSV = 99)
Iteration 197, WS = [1455], MaxViolation = 3.5221068011033645, 1D Update: 9.572421003817384 -> 10, #SV = 108 (#BSV = 100)
Iteration 198, WS = [1499], MaxViolation = 3.014650395712673, 1D Update: 4.594009433947585 -> 7.334600702777287, #SV = 108 (#BSV = 100)
Iteration 199, WS = [638], MaxViolation = 5.137224627777189, 1D Update: 9.605310694807653 -> 10, #SV = 108 (#BSV = 101)
Iteration 200, WS = [371], MaxViolation = 4.705318754667193, 1D Update: 4.6516036005724155 -> 8.929166104815318, #SV = 108 (#BSV = 101)
Iteration 201, WS = [1499], MaxViolation = 5.048022363436273, 1D Update: 7.334600702777287 -> 10, #SV = 108 (#BSV = 102)
Iteration 202, WS = [520], MaxViolation = 3.188330846740955, 1D Update: 0 -> 2.8984825879463223, #SV = 109 (#BSV = 102)
Iteration 203, WS = [1235], MaxViolation = 4.856167517429284, 1D Update: 9.897210522955529 -> 10, #SV = 109 (#BSV = 103)
Iteration 204, WS = [874], MaxViolation = 4.720939000387573, 1D Update: 0 -> 4.291762727625066, #SV = 110 (#BSV = 103)
Iteration 205, WS = [371], MaxViolation = 4.789056860587571, 1D Update: 8.929166104815318 -> 10, #SV = 110 (#BSV = 104)
Iteration 206, WS = [215], MaxViolation = 3.6638166738997437, 1D Update: 0 -> 3.3307424308179487, #SV = 111 (#BSV = 104)
Iteration 207, WS = [1155], MaxViolation = 4.890531116004313, 1D Update: 4.708239397578352 -> 9.15417677576409, #SV = 111 (#BSV = 104)
Iteration 208, WS = [173], MaxViolation = 4.875527345661441, 1D Update: 0 -> 4.432297586964946, #SV = 112 (#BSV = 104)
