l = 782.
Q Cache of size 1000MB storing 782 rows.
SMO (2D) selected.
Iteration 1, WS = [1, 386], MinDeltaObj = -85.36474416961836, Gmax = 1, Gmin = -1, DeltaGradient = 2, 2D Update: i = 0 -> 85.36474416961836, j = 0 -> 85.36474416961836, #SV = 2 (#BSV = 0)
Iteration 46, WS = [175, 355], MinDeltaObj = -461.90531943166906, Gmax = 15.593966064708358, Gmin = 5.381511485235185, DeltaGradient = 10.212454579473173, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 89 (#BSV = 75)
Iteration 47, WS = [42, 404], MinDeltaObj = -449.819201792275, Gmax = 16.126623242431833, Gmin = 7.116576425554154, DeltaGradient = 9.01004681687768, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 91 (#BSV = 77)
Iteration 48, WS = [63, 34], MinDeltaObj = -213.62347885714001, Gmax = 16.462132650125806, Gmin = 8.147100019701059, DeltaGradient = 8.315032630424747, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 93 (#BSV = 79)
Iteration 49, WS = [482, 143], MinDeltaObj = -230.63609636476863, Gmax = 18.96233501449561, Gmin = 5.984989775958885, DeltaGradient = 12.977345238536726, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 95 (#BSV = 81)
Iteration 50, WS = [523, 183], MinDeltaObj = -257.1893596985601, Gmax = 19.256246471163998, Gmin = 6.233162805415814, DeltaGradient = 13.023083665748183, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 97 (#BSV = 83)
Iteration 51, WS = [47, 332], MinDeltaObj = -271.0563338375033, Gmax = 18.858400273769774, Gmin = 4.390115260345365, DeltaGradient = 14.46828501342441, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 99 (#BSV = 85)
Iteration 52, WS = [176, 231], MinDeltaObj = -173.76155323125323, Gmax = 19.971913081419068, Gmin = 11.101354398267263, DeltaGradient = 8.870558683151804, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 101 (#BSV = 87)
Iteration 53, WS = [651, 709], MinDeltaObj = -295.96957138723275, Gmax = 20.542294960579238, Gmin = 10.058480035495498, DeltaGradient = 10.48381492508374, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 103 (#BSV = 89)
Iteration 54, WS = [679, 494], MinDeltaObj = -373.71846401185803, Gmax = 21.09262408158452, Gmin = 9.189123924251861, DeltaGradient = 11.90350015733266, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 105 (#BSV = 91)
Iteration 55, WS = [437, 106], MinDeltaObj = -333.5092907190821, Gmax = 20.344738898457685, Gmin = 10.554875267386878, DeltaGradient = 9.789863631070807, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 107 (#BSV = 93)
Iteration 56, WS = [605, 201], MinDeltaObj = -362.5099230252545, Gmax = 21.46438980313794, Gmin = 8.387474812417093, DeltaGradient = 13.076914990720848, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 109 (#BSV = 95)
Iteration 57, WS = [218, 664], MinDeltaObj = -136.01680607586377, Gmax = 21.575214693907014, Gmin = 8.279045667509902, DeltaGradient = 13.296169026397113, 2D Update: i = 0 -> 20.45954828128723, j = 0 -> 20.45954828128723, #SV = 111 (#BSV = 95)
Iteration 58, WS = [104, 771], MinDeltaObj = -181.5824038018998, Gmax = 18.7896298003044, Gmin = 9.54213798376426, DeltaGradient = 9.24749181654014, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 113 (#BSV = 97)
Iteration 59, WS = [144, 540], MinDeltaObj = -408.25619960847933, Gmax = 20.132875852669898, Gmin = 12.537788061710469, DeltaGradient = 7.595087790959429, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 115 (#BSV = 99)
Iteration 60, WS = [610, 571], MinDeltaObj = -108.77970717649946, Gmax = 20.02744478908291, Gmin = 10.266163184953806, DeltaGradient = 9.761281604129104, 2D Update: i = 0 -> 42.57480466545823, j = 0 -> 42.57480466545823, #SV = 117 (#BSV = 99)
Iteration 61, WS = [425, 178], MinDeltaObj = -213.71129793039412, Gmax = 19.356704781089896, Gmin = 7.709280731155644, DeltaGradient = 11.647424049934251, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 119 (#BSV = 101)
Iteration 62, WS = [545, 216], MinDeltaObj = -91.1225014118003, Gmax = 20.014960221367055, Gmin = 10.325335261122419, DeltaGradient = 9.689624960244636, 2D Update: i = 66.85459109656087 -> 100, j = 20.50857850417443 -> 53.65398740761356, #SV = 119 (#BSV = 102)
Iteration 63, WS = [522, 251], MinDeltaObj = -130.11660768785552, Gmax = 17.608535579216518, Gmin = 6.07966726535348, DeltaGradient = 11.528868313863038, 2D Update: i = 0 -> 47.25951933116754, j = 35.3099122276234 -> 82.56943155879094, #SV = 120 (#BSV = 102)
Iteration 64, WS = [9, 431], MinDeltaObj = -762.2354490480064, Gmax = 17.669175952940325, Gmin = 10.123698182289008, DeltaGradient = 7.545477770651317, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 122 (#BSV = 104)
Iteration 65, WS = [552, 329], MinDeltaObj = -279.9284473960349, Gmax = 18.023056985646612, Gmin = 10.362854759145353, DeltaGradient = 7.660202226501259, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 124 (#BSV = 106)
Iteration 66, WS = [20, 469], MinDeltaObj = -1046.9213286836998, Gmax = 18.55160668149906, Gmin = 8.56817641229352, DeltaGradient = 9.98343026920554, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 126 (#BSV = 108)
Iteration 67, WS = [500, 712], MinDeltaObj = -771.5147702333227, Gmax = 18.906556142327933, Gmin = 6.820466633307442, DeltaGradient = 12.086089509020491, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 128 (#BSV = 110)
Iteration 68, WS = [22, 268], MinDeltaObj = -784.3044263861758, Gmax = 18.751337233269453, Gmin = 6.322930860076179, DeltaGradient = 12.428406373193274, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 130 (#BSV = 112)
Iteration 69, WS = [173, 399], MinDeltaObj = -377.54409473014323, Gmax = 18.876545309541147, Gmin = 4.7403080518335035, DeltaGradient = 14.136237257707643, 2D Update: i = 0 -> 100, j = 0 -> 100, #SV = 132 (#BSV = 114)
